,city,job_title,company_name,location,summary,salary
56,Seattle,Computational Scientist - Metabolic Modeling,Arzeda,"Seattle, WA","Connecting genomic and other biological data to computationally designed pathways. Working with bioinformatics tools such as BLAST, HMMER, multiple alignment...",Nothing_found
57,Seattle,Junior Data Analyst (3+ months),SEIU 775 Benefits Group,"Seattle, WA",A genuine passion for data science and drive to communicate using data. You will join a dynamic business analytics team and work closely with the data...,Nothing_found
58,Seattle,POPULATION HEALTH ANALYST,University of Washington,"Seattle, WA",Keen attention to detail especially when it comes to integrity of data. The Population Health Analyst is responsible for writing programming (currently via SQL)...,Nothing_found
59,Seattle,Sr Data Scientist,T-Mobile,"Bellevue, WA",Advanced analytics and data science practices continue to grow at T-Mobile and support from the IT organization is critical from providing flexible environment...,Nothing_found
60,Seattle,Data Scientist,KPMG,"Seattle, WA 98104","KPMG is currently seeking a Data Scientist, to join our Advanced Data and Analytics Organization. Retrieve, process and prepare a rich data variety of data...",Nothing_found
61,Los+Angeles,Data Scientist/Quantitative Analyst,Magid,"Los Angeles, CA","Data Scientist/Quantitative Analyst/R Programmer – Los Angeles, CA*. Passionate about finding and communicating valuable insights from complex data sets....",Nothing_found
62,Los+Angeles,Senior Data Scientist,"TrueCar, Inc.","Santa Monica, CA","The Senior Data Scientist will work in a fast-paced environment, with diverse data sets and technologies to produce production quality, scalable, automated,...",Nothing_found
63,Los+Angeles,Senior Data Scientist,Restoration Media,"Irvine, CA 92614",The Senior Data Scientist will leverage the business’s data to enhance business stakeholders capabilities for overall goal achievement....,Nothing_found
64,Los+Angeles,Data Analyst (Statistical Analysis),TekVizor,"Los Angeles, CA","Data Mining, loading data, joining tables, select statements, etc... As a member of the Data team, you will be tasked with weaving structured and unstructured...",Nothing_found
65,Los+Angeles,Machine Learning Research Scientist,nuTonomy,"Santa Monica, CA","Practical experience in data science, statistics, and analysis of large data sets. Experience using data modeling tools....",Nothing_found
66,Los+Angeles,Data Entry & Analysis Clerk (entry level),"Motion Picture Compliance Solutions, Inc.","Sylmar, CA 91342","Strong computer skills in the areas data entry and analysis, with attention to detail and accuracy. We are looking for an entry-level Data Entry & Analysis...",Nothing_found
67,Los+Angeles,Machine Learning Engineer,ObEN,"Pasadena, CA","Your responsibilities:  As a member of the machine language translation team, you utilize your superior technical aptitude and deep understanding of...",Nothing_found
68,Los+Angeles,Business Intelligence Manager - Data Analytics,Verizon,"Los Angeles, CA 90094","Data Visualization tools experience (such as Excel, Looker, Tableau, Cuboid etc.). Perform analyses on large sets of data to extract actionable insights that...",Nothing_found
69,Los+Angeles,Computer Scientist - Artificial Intelligence,USC,"Marina del Rey, CA",ISI welcomes applications from computer scientists in any of the following areas:. ISI scientists have the opportunity to spend the majority of their time doing...,Nothing_found
70,Los+Angeles,Research Scientist,California Institute of Technology,"Pasadena, CA 91125",Occasional travel to collaborators for progress updates and some experimental data collection. The Division of Chemistry and Chemical Engineering at the...,Nothing_found
71,Los+Angeles,Senior Data Scientist,Dex YP,"Santa Monica, CA","Knowledge of NoSQL and Big Data. Knowledge of NoSQL, Hadoop and Big Data in general. Location - Virtual – CA preferred, but open to anywhere in the US....",Nothing_found
72,Los+Angeles,Technical Data Analyst,Riot Games,"Los Angeles, CA","Collaborate with analysts and data scientists as a front line contact for Big Data to help them extract even more value from data, and to help the engineers set...",Nothing_found
73,Los+Angeles,Data Leadership,Riot Games,"Los Angeles, CA",The Data Discipline improves player experience through world class data processing and machine learning....,Nothing_found
74,Los+Angeles,Lead Data Scientist,BCG Digital Ventures,"Manhattan Beach, CA","Leading and managing a team of data scientists. In your role as the Lead Data Scientist at BCG Digital Ventures, you will:....",Nothing_found
75,Los+Angeles,Entry Level Systems Analysis and Data Visualization Engineer,BOEING,"El Segundo, CA 90245",Skilled scientists and thinkers. We are seeking an Entry Level Systems Analysis and Data Visualization Engineer(Level 1) who will design and develop state-of...,Nothing_found
